أدب وشعر | نتالي أغرودة أيلول زهير دعيم | موقع الغزال https://t.co/W38kMzVSZR
عالم الفن | حاتم العراقي يستعد لتصوير أغنية من البومه الجديد حاتم العراقي 2018 | موقع الغزال https://t.co/yu1boYkEqM
اخبار محلية | في طاولة مستديرة بالمتابعة: التأكيد على تعزيز مكانة اللغة العربية في بلداتنا | موقع الغزال https://t.co/aANyJyFnN8
انتخابات البلديات والمجالس المحلية 2018 | بيان قائمة المستقبل وشارتها | موقع الغزال https://t.co/bKnksnMH7O
أخبار عبلين | زيارة ميدانيّة للتّفتيش العربيّ في لواء الشّمال للمدرسة الابتدائيّة د عبلين.* | موقع الغزال https://t.co/bfMg2Cf0B6
وين تسهر | الجمعة 28/9/18 لقاء ووقفة في شفاعمرو | موقع الغزال https://t.co/m8OQC7XhLD
فنجان ثقافة | حوار ناري مع المستشار الإعلامي نزار الحرباوي | موقع الغزال https://t.co/hsEc8a3cY2
أخبار سخنين | الطالب بشّار غانم داوود من الصفّ التّاسع في مدرسة البشائر الأهليّة للعلوم – سخنين | موقع الغزال https://t.co/azrlkZS3DQ
اخبار محلية | طرعان: لقاء احتفالي لتكريم ووداع المفتشة سناء بكري واستقبال المفتشة فوزية أبو رنة | موقع الغزال https://t.co/HfeA4rhwRY
اخبار فلسطنية | حفل تأبيني في رام الله للمحامية التقدمية المناضلة فليتسيا لانغر | موقع الغزال https://t.co/8ThsIbAMEO
اخبار محلية | الحزب الشيوعي الاسرائيلي: صفقة القرن مخطط استعماري عدواني للقضاء على قضية فلسطين | موقع الغزال https://t.co/OmtmMTNUQ5
أراء حرة | عبلّين – العروس المُتجليّة على خدّ الجليل - زهير دعيم | موقع الغزال https://t.co/gEK6tH6sJb
انتخابات البلديات والمجالس المحلية 2018 | بيان للمحامي عبدالله خوري - عبلين | موقع الغزال https://t.co/CQ7hMhoIkq
أراء حرة | أزمة السكن في المجتمع .. هل من حلول ؟ | موقع الغزال https://t.co/kpfnfcrkGz
أخبار عالمية | السرّ الرابع للكلب ذي القوائم الست | موقع الغزال https://t.co/ozwfj6P92v
أخبار سخنين | طلّاب مدرسة البشائر الأهليّة للعلوم – سخنين يحلّقون في مشروع الفضاء والفيزياء من خلال بناء القمر الصّناعي جليل -1 | موقع الغزال https://t.co/EQdHTfdRKI
انتخابات البلديات والمجالس المحلية 2018 | جبهة الناصرة تنتخب قائمتها لانتخابات البلدية | موقع الغزال https://t.co/EmYNwCTBqe
انتخابات البلديات والمجالس المحلية 2018 | اجتماع حي منزل النور يتحول الى مهرجان انتخابي ضخم لجبهة وحدة يافة | موقع الغزال https://t.co/Bx8GAkWxvq
أخبار حيفا | أمسية شعرية من أمسيات عكاظ الحيفاوية في نادي حيفا الثقافي | موقع الغزال https://t.co/8qVxPDFrze
انتخابات البلديات والمجالس المحلية 2018 | الجبهة تقرّ قائمتها لانتخابات بلدية حيفا | موقع الغزال https://t.co/FHSLTq9Xn0
اخبار محلية | ورشات تفاعلية مع اولياء الامور بمدرسة التسامح الشاملة الجناح الاعدادي | موقع الغزال https://t.co/wifxYVG4SR
انتخابات البلديات والمجالس المحلية 2018 | الجبهة والتجمع واوساط شعبية فحماوية يخوضون الانتخابات بقائمة التحالف الوطني | موقع الغزال https://t.co/oH2TLJDlkF
اخبار محلية | حضور واسع في المؤتمر الرياضي النسائي الثاني في الناصرة | موقع الغزال https://t.co/RGGrUqzYoH
انتخابات البلديات والمجالس المحلية 2018 | صوتوا شريف حيدر للرئاسة | موقع الغزال https://t.co/ky5wNsK24U
اخبار محلية | وفد لجنة المتابعة يعقد ندوة في مجلس حقوق الانسان حول قانون القومية | موقع الغزال https://t.co/hjKC9DWDtj
اخبار محلية | قافلة سيّارات للمطالبة بالمساواة في النّقب | موقع الغزال https://t.co/DKvwsY7lNp
اخبار محلية | اجتماع موفق بين لجنة أئمة الدين والوزير كاحلون والنائب أكرم حسون ورئيس قسم الأديان يعقوب سلامة! | موقع الغزال https://t.co/tI3q83HpGc
اخبار محلية | تدشين وافتتاح قاعة مسرح الحنين الناصرة | موقع الغزال https://t.co/NcGc2KT6ka
اخبار فلسطنية | مهجة القدس: الاحتلال مازال يواصل منع المحامين | موقع الغزال https://t.co/RTJOTjclOO
أخبار عبلين | فيديو أكلة سليم مع سليم ضو | 22.9.2018 | قرية اعبلين | موقع الغزال https://t.co/deJUUGgqDM
أخبار عبلين | جبهة عبلين الديمقراطية تقر تركيبة قائمتها للعضوية للأماكن الخمس الأولى  | موقع الغزال https://t.co/R7DYWC9vkL
فنجان ثقافة | أدباء وشعراء يجتمعون في مركز الأفق في شفاعمرو | موقع الغزال https://t.co/qWRWqqQbOa
اخبار محلية | النائب جبارين: من يهدم خان الأحمر سيجد نفسه | موقع الغزال https://t.co/m0M3Xq2QAj
اخبار محلية | النائب جبارين: من يهدم خان الأحمر سيجد نفسه | موقع الغزال https://t.co/LWlZvo374L
اخبار محلية | بالونات الأمنيات في مدرسة بيت الحكمة الثانوية | موقع الغزال https://t.co/pFPnHdfEi0
أراء حرة | ظاهرة نسوية «في فمي ماء».. ولكن - فيحاء عبد الهادي | موقع الغزال https://t.co/lcZjNTPAGg
عالم الفن | ثمن جهود محمد الجبري وطارق المزرم | موقع الغزال https://t.co/F8LuZjjmw5
عالم الفن | بعد نجاح تكايسي بشوية... الفنان يوسف أوتول | موقع الغزال https://t.co/3tD2BaOSKd
وين تسهر | عن ليلة افتتاح بار وجاليري فتوش | موقع الغزال https://t.co/nJWmiTFm0q
وين تسهر | يوم الثلاثاء 25/9/18 في متحف محمود درويش رام الله | موقع الغزال https://t.co/Z76P2ijG3m
فنجان ثقافة | الفنان حسام أبو عيشة | موقع الغزال https://t.co/w7euBKgoPe
وين تسهر | يوم الاحد 23/9/18 في سينمانا الناصرة | موقع الغزال https://t.co/RM5jHA3U4B
رياضة محلية | عرابه اولا في البلاد | موقع الغزال https://t.co/0rQ7NRYFxa
أخبار عالمية | مؤسسة الانتاج البرامجي تصور فيلم الاثار في دول مجلس التعاون | موقع الغزال https://t.co/iaQxvDKJ8d
أخبار عالمية | مؤسسة الانتاج البرامجي تصور فيلم الاثار في دول مجلس التعاون | موقع الغزال https://t.co/yhzli6uXrh
فنجان ثقافة | ميس ناطور ما زالت جريئة | موقع الغزال https://t.co/BeMU68cSie
أدب وشعر | غروب العمر أهزوجة حسن العاصي | موقع الغزال https://t.co/lTFtVIttsj
اخبار محلية | آثارنا شاهد حيّ على الجريمة المحامي حسن عبادي | موقع الغزال https://t.co/DzNOHENEcv
أدب وشعر | طيّارة كرتون سفن.. و .. سلام هاشم ذياب | موقع الغزال https://t.co/EitnatMuL9
أخبار عبلين | جبهة عبلين الديمقراطية تقر تركيبة قائمتها للعضوية للأماكن الخمس الأولى  | موقع الغزال https://t.co/z3kS0ZxJLu
فنجان ثقافة | الفنان الفلسطيني أحمد أبو سلعوم يحرس المقبرة | موقع الغزال https://t.co/egnfdRw4c1
اخبار محلية | وفد المتابعة يواصل لقاءاته في جنيف | موقع الغزال https://t.co/NboD4c5j9R
اخبار محلية | صحيفة معاريف: بعد اجتماعات القائمة المشتركة الاتحاد الاوروبي يشير بقلق إلى سلوك اسرائيل!! | موقع الغزال https://t.co/xhvSlZLLrI
انتخابات البلديات والمجالس المحلية 2018 | جبهة وحدة يافة الناصرة تنطلق بكوكبة شبابية متجددة لاحراز النصر القادم | موقع الغزال https://t.co/bAlddxswZ9
اخبار محلية | في ردِّه على إغلاق الملفات ضد ماحش | موقع الغزال https://t.co/ENgK9qdCch
انتخابات البلديات والمجالس المحلية 2018 | علي سلام يفقد إتزانه قولا وفعلاً | موقع الغزال https://t.co/jpghYxA3IB
أخبار عبلين | جبهة عبلين الديمقراطية تقر تركيبة قائمتها للعضوية للأماكن الخمس الأولى  | موقع الغزال https://t.co/0SZkWZQ1cb
أخبار حيفا | الجبهة تنتخب قائمتها لانتخابات بلدية حيفا | موقع الغزال https://t.co/s3c3YtOsVD
أدب وشعر | ليْلُنا سِكّين تشاؤميّة يكتبها : زهير دعيم | موقع الغزال https://t.co/H6KfzrjUp8
اخبار محلية | وفد سياسي حقوقي يمثل لجنة المتابعة | موقع الغزال https://t.co/UxvlfXtUa1
اخبار محلية | بركة وجبارين يلتقيان في جنيف مسؤولين حكوميين وبرلمانيين سويسريين | موقع الغزال https://t.co/8RsDWDNSNv
انتخابات البلديات والمجالس المحلية 2018 | أجواء التعاون الانتخابي...تخيفهم وتربكهم!! | موقع الغزال https://t.co/b9dFtj1ibX
أخبار عبلين | جبهة عبلين الديمقراطية تقر تركيبة قائمتها للعضوية للأماكن الخمس الأولى  | موقع الغزال https://t.co/BEQnTU43PH
