id	name	rawTweet	postTweet	label	mentions	hashtags
0	TheThinker	"Instead of wasting my time and replying to everyone about my mistake, im going to state it here.   I should have been more clearer with my argument. I should had said that homosexuals are  not totally wrong  and  not totally right.  Saying that they are will make the contradicting truth false. With this information, im believing that the truth can be contradicting. Contradictions are examples of false information. However, when i evaluate the contradiction i provided, both of them are truthful in their own senses. I went a little off topic but if the author intended us to talk about children, then my argument shouldn't be dismissed.   Now here is my answer to this debate:   Why not? It is a choice and everybody deserves to get married to the ones they love.
"	answer argument argument author believing children choice clearer contradicting contradicting contradiction contradictions debate deserves dismissed evaluate examples false false here homosexuals however im im information information intended love make married mistake not provided replying right senses state talk time topic totally totally truth truth truthful wasting wrong	2	[]	[]
1	Apollo	"Men should fall in love with women   Says who?!   that's why they where created   They were not ""created."" They evolved into existence over billions of years.   And you are telling them what their purpose in life is. Your view is irrelevant to what they believe their purpose is.   women should get married to men because it makes ever ting easier.   How exactly does prohibiting someone from marrying who they love because some idiot says they shouldn't ""make ever ting easier?""  That is absolutely absurd.  I will not tolerate any attempt to forcibly take someone's rights because a f@#$in' 2000-year-old book says they should be killed. Who are your to dictate who one can and cannot love?
"	2000 absolutely absurd attempt billions book created created dictate easier easier evolved existence f@ fall forcibly idiot in irrelevant is is killed life love love love make makes married marrying men men old prohibiting purpose purpose rights someone telling ting ting tolerate view who women women year years	2	[]	[]
0	TheThinker	"I think the author of this debate should change the word ""homos"" to ""homosexuals."" It sounds insulting.   Anyway, here is my dispute.    And you are telling them what their purpost in life is.   I believe that the purpose in life is to grow and advance. In a sense, homosexuals are NOT WRONG because they stop the world from overpopulation. However, in another sense, it is wrong due to the fact that it stops the world from growing in numbers. I believe this is the purpose of life because it is programmed in our heads. We fear the tip of the blame touching our heart because we do not want to die. We go to school because we want to better ourselves. If i had a billion dollars, i don't want to spend the rest of my life playing on my Nintendo Wii. If i do that, i would feel like im wasting my own life. I believe i can say the same about you because i can sense it. I can sense wrong, ha ha.   Therefore, i believe, MOST men and women must be attracted to each other to inorder to grow and advane as a human race.
"	advance advane anyway attracted author believe billion blame change debate die dispute dollars due fact fear feel grow grow growing ha ha heads heart homos homosexuals homosexuals however human im inorder insulting is it life life life life life men nintendo numbers ourselves overpopulation playing programmed purpose purpose purpost race rest school sense sense sense sense sounds spend stop stops telling that therefore tip touching wasting wii women word world world wrong wrong wrong	1	[]	[]
1	Apollo	"I believe that the purpose in life is to grow and advance.   As do I. But it is not right for me to dictate my SUBJECTIVE beliefs onto others out of some perverted sense of duty. That is absurd.   However, in another sense, it is wrong due to the fact that it stops the world from growing in numbers.   Who said homosexuals can't have kids? They simply cannot have them with  each other .
"	absurd advance beliefs dictate due duty fact grow growing homosexuals however kids life numbers perverted purpose sense sense simply stops subjective world wrong	1	[]	[]
0	TheThinker	"Who said homosexuals can't have kids? They simply cannot have them with each other.    I never implied that.    As do I. But it is not right for me to dictate my SUBJECTIVE beliefs onto others out of some perverted sense of duty. That is absurd.   I believe this ""belief"" is truth and the truth must be said.   Who said homosexuals can't have kids? They simply cannot have them with each other   I don't find what you stated as a dispute. If it was intended to be one. if it was intended to be a dispute then you are wrong because when i stated ""growing in numbers"" i didn't meant adoption. I meant producing children into this world.   In one small sense, it is wrong to be homosexuals because you can't produce children. In that sense, it is naturally wrong. In another sense, it is right to be homosexuals because you can stop overpopulation. These are two contradicting statements showed by ReventonRage and RiceD. However, these statements are truthful in their own perspective. I understand that homosexuals can't have kids. They can adopt children and thus, support the advancement of the human race. Homosexuals, like non-homosexuals, can become scientists and mathmaticians that supports the advancment of the human race. Im just providing more senses in which being a homosexual is right.   You know what? I proved that facts can be contradicting. Homosexuals can't produce children and in that sense, it is wrong. However, they stop the world from overpopulation. In that sense, it is right. I know those statements are contradicting but i can't deny that both of them are correct in their own little perspectives.  Edit. If you read my other comments then you will already know that i think i went a little off topic with mine. I thought marriage meant having children so that is why i went into the discussion of children. Therefore, the discussion of children lead me to the purpose of life. If the author of this debate didn't meant marriage as in having children afterwards, then my comment should be dismissed. Ignored but not forgotten. lol.   It is contradicting. Im surprised myself. I said that a lot. However, i can say the same for non-homosexual people as well. They support life and they don't support life. Im just saying this so you don't imply that i don't think this.
"	absurd adopt adoption advancement advancment afterwards author belief beliefs children children children children children children children children comment comments contradicting contradicting contradicting contradicting correct debate deny dictate discussion discussion dismissed dispute dispute duty edit facts find forgotten growing homosexual homosexual homosexuals homosexuals homosexuals homosexuals homosexuals homosexuals homosexuals homosexuals however however however human human im im im implied imply intended intended kids kids kids lead life life life lol lot marriage marriage mathmaticians meant meant meant meant mine myself naturally non non numbers one other overpopulation overpopulation people perspective perspectives perverted produce produce producing proved providing purpose race race read reventonrage riced right right said scientists sense sense sense sense sense sense senses showed simply simply small stated stated statements statements statements stop stop subjective support support support supports surprised that therefore this thought thus topic truth truth truthful understand well what world world wrong wrong wrong wrong	2	[]	[]
2	ReventonRage	"I believe this ""belief"" is truth   Again, you're misconstruing belief and knowledge. Will you ever learn?   In one small sense, it is wrong to be homosexuals because you can't produce children.   Why is this wrong? You're putting forth an unasserted speculation.   I proved that facts can be contradicting.   Facts cannot be contradicting.
"	again belief belief children contradicting contradicting facts facts homosexuals knowledge learn misconstruing produce proved putting sense small speculation truth unasserted wrong wrong	2	[]	[]
0	TheThinker	"I already gave examples of why is it wrong. It is wrong because of overpopulaton.   And i think my recent argument to you already answered this argument and the other argument that i didn't reply too.
"	answered argument argument argument examples gave overpopulaton recent reply too wrong wrong	1	[]	[]
0	TheThinker	"It is not wrong to get ""married."" However, in that logic and mind, it is wrong to live in a perspective of not producing children when overpopulation isn't met. It is ""naturally wrong"" to have an infertile body when you can't produce an offspring...in one sense. In stated this sense in my first argument.   When i created my first argument, the thought of marriage didn't come to mind. I understand that is weird because that word is in the title of this debate. And i find it weird. I replied supportingly, but not one hundred percent supportingly, that men and women should be attracted to each other. I comment that i supported is that of Shadowwolf when he stated that men and women should fall in love. In response, ignorantly percieved that comment as that men and women should be attracted to one another.   I provided senses in which this attraction is right and wrong.  Edit. I now believe that my comment was a little off topic. When i think of marriage, i think of children. However, if the thought of children wasn't implied by the author, my comment should be dismissed.
"	another argument argument attracted attracted attraction author body children children children comment comment comment comment created debate dismissed edit fall find however however hundred ignorantly implied in infertile live logic love marriage marriage married men men men met mind mind naturally offspring other overpopulation percent percieved perspective produce producing provided replied response sense sense senses shadowwolf stated stated supported supportingly supportingly thought thought title topic understand weird weird women women women word wrong wrong wrong wrong	1	[]	[]
2	ReventonRage	"it is wrong to live in a perspective of not producing children when overpopulation isn't met.   Do you know what ""overpopulation"" means?   It is ""naturally wrong"" to have an infertile body when you can't produce an offspring   Why?
"	body children infertile live means met naturally offspring overpopulation overpopulation perspective produce producing why wrong wrong	1	[]	[]
2	ReventonRage	"In a sense, homosexuals are NOT WRONG because they stop the world from overpopulation. However, in another sense, it is wrong due to the fact that it stops the world from growing in numbers.   Wow. A contradictory statement within the same breath? What do you mean when you say ""homosexuals are not wrong""?   I believe this is the purpose of life because it is programmed in our heads.    This is getting tiresome. Do I  really  have to repeat the whole idea about ""belief"" and ""knowledge"" again? Sigh. Belief is very different from knowledge. For example, as I am typing this, I can't say that I  ""believe""  that I am in front of the computer because I  know  that I am in front of the computer. Knowledge is simply belief on the basis of strong/over-whelming evidence. To say that you ""believe"" in anything in a debate amounts to saying nothing at all!   We fear the tip of the blame touching our heart because we do not want to die. We go to school because we want to better ourselves. If i had a billion dollars, i don't want to spend the rest of my life playing on my Nintendo Wii. If i do that, i would feel like im wasting my own life. I believe i can say the same about you because i can sense it.   How are any of these analogies related to whether homosexuals should or should not get married?
"	again all amounts analogies basis belief belief belief believe believe billion blame breath computer computer contradictory debate die dollars due evidence example fact fear feel front front growing heads heart homosexuals homosexuals homosexuals however idea im it knowledge knowledge knowledge life life life married nintendo numbers ourselves over overpopulation playing programmed purpose related repeat rest school sense sense sense sigh simply spend statement stop stops strong that this tip tiresome touching typing wasting whelming wii world world wow wrong wrong wrong	2	[]	[]
