	topic	CID	ID	PID	stance	rebuttal	name	parent	rawTweet	label	tweet_id	postTweet	n_key	mentions	hashtags
0	marijuana	A	10	-1	-1	null	gnsdude	null	"Passive smoking is harmful and secondhand smoke from the use of marijuana increases the chances of others suffering the damage by inhaling the smoke.
"	1	3292	chances damage harmful increases inhaling marijuana passive secondhand smoke smoke smoking suffering	12	[]	[]
1	marijuana	A	11	-1	-1	null	gnsdude	null	"Marijuana is believed to be a stepping-stone drug that can eventually lead to addiction to heroin, cocaine and other harder drugs.
"	1	3293	addiction believed cocaine drug drugs eventually harder heroin lead marijuana stepping stone	12	[]	[]
2	marijuana	A	12	-1	-1	null	gnsdude	null	"Many Americans think that the use of drugs is morally wrong, because religious codes prohibit the use of intoxicating substances. Therefore legalizing marijuana would be like legalizing something considered to be immoral
"	1	3294	americans codes considered drugs immoral intoxicating legalizing legalizing marijuana morally prohibit religious substances wrong	14	[]	[]
3	marijuana	A	2	-1	1	null	MKIced	null	"I used to think no. I was naive. Marijuana is not a super dangerous drug. Don't argue that it's not bad for you at all, because most things are bad for you to some degree, especially when they are chemicals and drugs that you enter into your system to change your feeling. But I think cigarettes are worse than pot: they're more addicting, worse for you, and cheaper and  legal ! If cigarettes can be legal, so should pot.
"	2	3295	addicting all argue bad bad change cheaper chemicals cigarettes cigarettes dangerous degree drug drugs enter feeling legal legal marijuana naive no pot pot super system things worse worse you	29	[]	[]
4	marijuana	A	3	-1	1	null	gnsdude	null	"Marijuana is no more harmful than tobacco or alcohol, if taken in moderate quantities. Tobacco and alcohol are both legal and widely used in the US, regulated by US Food and Drug Administration (FDA). If the abuse of marijuana is harmful, isn't the abuse of tobacco or alcohol equally life threatening? Would you want the government to limit how much alcohol or tobacco you take?
"	2	3296	abuse abuse administration alcohol alcohol alcohol alcohol drug equally fda food government harmful harmful legal life limit marijuana marijuana moderate quantities regulated take threatening tobacco tobacco tobacco tobacco us widely	30	[]	[]
5	marijuana	A	4	-1	1	null	gnsdude	null	"Marijuana has medical benefits in relation to diseases like cancer, AIDS and glaucoma. It is especially helpful in the treatment of patients undergoing chemotherapy. Hats off to states like California that have initiated the move to legalize the drug, at least for medicinal purposes.
"	2	3297	aids benefits california cancer chemotherapy diseases drug glaucoma hats helpful initiated legalize marijuana medical medicinal move patients purposes relation states treatment undergoing	22	[]	[]
6	marijuana	A	5	-1	1	null	gnsdude	null	"Crime and violence in the US has increased due to the illegal selling and buying of marijuana. Legalizing it would end the need for indulging in criminal behavior. Also, drug related disputes will come to an end and drug mafias would lose their significance. Police can then concentrate more on serious crimes.
"	2	3298	also behavior buying concentrate crime crimes criminal disputes drug drug due end end illegal increased indulging legalizing lose mafias marijuana police related selling significance violence	25	[]	[]
7	marijuana	A	6	-1	1	null	gnsdude	null	"Marijuana is one of the popular agricultural products in the US. According to an estimate by Californian authorities, annual marijuana sales in the state could be worth 14 billion dollars. And new tax revenues from legalizing marijuana could well exceed 1 billion dollars, just in California. Imagine what the revenue will be if it is legalized in the whole of US!
"	2	3299	14 agricultural annual authorities billion billion california californian dollars dollars estimate exceed imagine legalized legalizing marijuana marijuana marijuana popular products revenue revenues sales state tax us us worth	28	[]	[]
8	marijuana	A	9	-1	-1	null	gnsdude	null	"Some believe that legalizing marijuana may increase crime as people involved in illegal trade of the drug are also involved in other crimes. They consider society is safer with marijuana offenders incarcerated.
"	1	3302	crime crimes drug illegal incarcerated increase involved involved legalizing marijuana marijuana offenders people safer society trade	16	[]	[]
9	marijuana	B	10	9	-1	oppose	cullenjb	PrayerFails	"I said as much. Not ""Marijuana doesn't hurt your body AT ALL"". And people do have a choice. They can smoke marijuana or they can refrain from smoking it. It just isn't legal.
"	1	3304	all body choice hurt it legal marijuana marijuana much people refrain smoke smoking	13	[]	[]
