	topic	CID	ID	PID	stance	rebuttal	name	parent	rawTweet	label	tweet_id	postTweet	n_key	mentions	hashtags
0	obama	A	1	-1	1	null	cwmdulais	null	"don't know how accurate this site is, but it gives a good idea of what hes done   http://www.politifact.com/truth-o-meter/                                        promises/    seems hes doing alright so far
"	2	3917	accurate alright far good hes hes idea is promises site	10	[]	[]
1	obama	A	10	9	1	oppose	JustIgnoreMe	Axmeister	"I'm shocked! People are downvoting your Obama has almost the same number of letters as Hitler argument... they must be Nazis.  Uh-Oh, George has exactly the same number of letters at Hitler - does that make him more like Hitler than Obama??
"	2	3918	argument downvoting george hitler hitler hitler letters letters make nazis number number obama obama oh people shocked uh	18	[]	[]
2	obama	A	11	10	-1	oppose	Axmeister	JustIgnoreMe	"but did you know obama's supporting the building of an islamic culture centre   at the site if the twin towers   also did you know that his aunt is an illegal immagrant living in the U.S not working but getting benifits.(so in other words your taxes are paying the upkeep of barrack obamas aunt)
"	1	3919	aunt aunt barrack benifits building centre culture illegal immagrant islamic living obama obamas paying site so supporting taxes towers twin upkeep words working	23	[]	[]
3	obama	A	12	10	-1	oppose	Axmeister	JustIgnoreMe	"are you some sort of puppet account or some thing because this is your only argument
"	1	3920	account argument puppet sort thing	5	[]	[]
4	obama	A	13	12	1	oppose	JustIgnoreMe	Axmeister	"um - if you click on a person's name you can see their other arguments (of which I have a few hundred). I'm not one of those people that sits on here all day every day, but I'm certainly no puppet account.
"	2	3921	account arguments click day day hundred of people person puppet sits um	12	[]	[]
5	obama	A	14	13	-1	oppose	Axmeister	JustIgnoreMe	"""(of which I have a few hundred). ""    if you had a few hundred you would have a few hundred points instead of just 14
"	1	3922	14 hundred hundred hundred of points	6	[]	[]
6	obama	A	15	14	1	oppose	JustIgnoreMe	Axmeister	"maybe you are the one whose new here - there are things that make you lose points. if you can read, click on my (or anyone's) name and it will take you to their profile. For example I clicked on your name and you have 261 arguments (about 100 fewer than i have) and have been on CreateDebate just under 100 days and I joined more than 260 days ago.  I'm sure I've responded to you enough to prove I'm no puppet account. Now how 'bout you provide a better argument than Obama's name is close to Hitler's name (even though they are different lengths and don't have any letters in common) - and that somehow people should not like Obama because of it.
"	2	3923	100 100 260 261 about account ago anyone argument arguments bout click clicked close common createdebate days days even fewer have hitler it joined lengths letters lose make obama obama or people points profile prove provide puppet read responded things	40	[]	[]
7	obama	A	18	17	1	oppose	iamdavidh	Potsmoker239	"I would like to preface this by stating you are a moron.  Generally I would not engage in any type of discussion with a complete idiot, but it should at least be pointed out to you (not that your capable of understanding much of anything beyond how and when you are going to get high again) that every country that has a similar healthplan as the one just passed pays less for healthcare, and receives better care. All of them. Every country with a similar plan. Also, we were the  only  industrialized country in the entire world that still had this antequated type of healthcare that was solely run by a for-profit money machine. Health insurance companies have been raping us for years with double digit cost increases for absolutely no reason but that they wanted more money. For that alone Obama is already going to go down in history as a great president - hate to break it to you.  I would also like to point out that fetuses are not babies, and that Jesus was having unprotected sex with a prostitute.  Okay, go get high again, hopefully you forget this site's url.
"	2	3926	absolutely again again also antequated babies break capable care companies complete cost country country country digit discussion double engage entire fetuses for forget generally great hate health healthcare healthcare healthplan high high history idiot increases industrialized insurance jesus machine money money moron not obama okay passed pays plan point pointed preface president profit prostitute raping reason receives run sex similar similar site solely stating them type type understanding unprotected url wanted world years you	74	[]	[]
8	obama	A	2	1	1	support	TheHallow1	cwmdulais	"Good find.   The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
"	2	3928	50 amount argument characters cut debate discourse dumb find good high jokes length minimum possible purpose quality restriction	18	[]	[]
9	obama	A	20	17	1	oppose	TheHallow1	Potsmoker239	"Killing babies isn't wrong. It's called population control. Besides. We could use those fetuses for stem cell research.
"	2	3929	babies besides called cell control fetuses killing population research stem wrong	11	[]	[]
